family	N	connects	synthetic_subgraphs	ready_sec	rss_max_bytes	dhat_total_bytes	dhat_total_blocks	dhat_peak_bytes	dhat_peak_blocks
connectors	1	12	12	3.20	677576704	28108632	212608	7364400	47315
connectors	2	24	24	3.70	686702592	42235869	295994	11402733	62424
connectors	4	48	48	5.82	694779904	76732055	467684	20241171	93482
connectors	8	96	96	9.93	714981376	201125259	846147	41498791	159150
connectors	16	192	192	20.89	787021824	918243144	1753672	107927943	304694
connectors	32	384	384	49.08	1101152256	5824711340	4199839	410597096	652612
connectors	64	768	768	159.96	2566275072	43313211058	11871681	2291061752	1575780
pure	1	0	1	2.15	649494528	15350375	134285	4285179	52868
pure	2	0	2	2.15	652083200	16367619	140941	4283533	52866
pure	4	0	4	2.14	651984896	18496007	153062	5231378	40365
pure	8	0	8	2.66	653508608	22804919	177850	7106150	48429
pure	16	0	16	3.17	659521536	33838712	230213	11413570	65037
pure	32	0	32	4.75	666517504	67283512	349149	20456386	100173
pure	64	0	64	8.38	687996928	227456568	651205	44458690	178125
