run	max_bytes	total_bytes	total_blocks	curr_bytes
connectors_N1	2042805	11828255	81891	2023225
connectors_N2	3827212	23381161	159042	3804964
connectors_N4	8161502	52701017	318250	8132898
connectors_N8	20431522	154539321	665855	20391326
connectors_N16	68859512	863222161	1529414	68795396
connectors_N32	335522008	5728334753	3875865	335410788
pure_N1	502640	1295274	8985	487272
pure_N8	2396071	6760924	46339	2374123
pure_N16	5085275	15511682	91713	5053599
pure_N32	10877195	44400674	196685	10839631
pure_N64	28377707	195467298	470847	28328367
